InvoiceNo,Recency,Frequency,Monetary,Cluster,Segment
537027,371,-140,0.0,0,Low-Value Guests
537028,371,-320,0.0,0,Low-Value Guests
537029,371,-6,0.0,0,Low-Value Guests
537032,371,-30,0.0,0,Low-Value Guests
537220,369,1,3.35,0,Low-Value Guests
537230,369,1,2.95,0,Low-Value Guests
537237,369,1608,7335.45,2,Recent High-Spenders
537240,369,1811,7660.4800000000005,2,Recent High-Spenders
537252,369,31,26.349999999999998,0,Low-Value Guests
537253,369,178,351.47,0,Low-Value Guests
537361,369,5,0.0,0,Low-Value Guests
537363,369,-20,0.0,0,Low-Value Guests
537364,369,-70,0.0,0,Low-Value Guests
537401,368,-24,0.0,0,Low-Value Guests
537411,368,4,9.65,0,Low-Value Guests
537425,368,-20,0.0,0,Low-Value Guests
537426,368,-35,0.0,0,Low-Value Guests
537427,368,-21,0.0,0,Low-Value Guests
537430,368,120,0.0,0,Low-Value Guests
537432,368,-43,0.0,0,Low-Value Guests
537434,368,1869,8223.4,2,Recent High-Spenders
537436,368,7,0.0,0,Low-Value Guests
537437,368,10,0.0,0,Low-Value Guests
537438,368,13,0.0,0,Low-Value Guests
537439,368,1,0.0,0,Low-Value Guests
537442,368,2,5.07,0,Low-Value Guests
537449,368,-30,0.0,0,Low-Value Guests
537450,368,-19,0.0,0,Low-Value Guests
537451,368,-11,0.0,0,Low-Value Guests
537452,368,-24,0.0,0,Low-Value Guests
537453,368,-18,0.0,0,Low-Value Guests
537454,368,-44,0.0,0,Low-Value Guests
537455,368,-70,0.0,0,Low-Value Guests
537466,368,-50,0.0,0,Low-Value Guests
537534,368,115,924.59,0,Low-Value Guests
537621,367,10,19.5,0,Low-Value Guests
537632,367,1,13541.33,2,Recent High-Spenders
537633,367,5,24.9,0,Low-Value Guests
537637,367,4,15.7,0,Low-Value Guests
537638,367,1448,6293.86,2,Recent High-Spenders
537639,367,30,0.0,0,Low-Value Guests
537640,367,2201,11540.34,2,Recent High-Spenders
537641,367,138,1240.19,0,Low-Value Guests
537642,367,256,2164.51,0,Low-Value Guests
537643,367,269,2416.59,0,Low-Value Guests
537645,367,254,2448.29,0,Low-Value Guests
537654,367,46,135.05,0,Low-Value Guests
537666,367,1144,5058.04,2,Recent High-Spenders
537675,367,12,5.04,0,Low-Value Guests
537679,367,24,24.59,0,Low-Value Guests
537687,367,-9,0.0,0,Low-Value Guests
537823,366,1484,6073.71,2,Recent High-Spenders
537839,366,9,12.87,0,Low-Value Guests
537858,366,15,24.95,0,Low-Value Guests
537870,366,-77,0.0,0,Low-Value Guests
537872,366,1,0.0,0,Low-Value Guests
537873,366,1,0.0,0,Low-Value Guests
537874,366,1,0.0,0,Low-Value Guests
537875,366,1,0.0,0,Low-Value Guests
537876,366,2,0.0,0,Low-Value Guests
537877,366,1,0.0,0,Low-Value Guests
537878,366,1,0.0,0,Low-Value Guests
537999,366,-223,0.0,0,Low-Value Guests
538001,366,10,0.0,0,Low-Value Guests
538004,366,144,0.0,0,Low-Value Guests
538036,365,34,0.0,0,Low-Value Guests
538038,365,8,0.0,0,Low-Value Guests
538039,365,7,0.0,0,Low-Value Guests
538041,365,30,0.0,0,Low-Value Guests
538042,365,-4,0.0,0,Low-Value Guests
538043,365,-1,0.0,0,Low-Value Guests
538044,365,16,21.299999999999997,0,Low-Value Guests
538045,365,27,0.0,0,Low-Value Guests
538046,365,-15,0.0,0,Low-Value Guests
538047,365,-70,0.0,0,Low-Value Guests
538054,365,-24,0.0,0,Low-Value Guests
538055,365,-20,0.0,0,Low-Value Guests
538058,365,-150,0.0,0,Low-Value Guests
538060,365,3,5.85,0,Low-Value Guests
538061,365,-38,0.0,0,Low-Value Guests
538071,365,1643,7268.65,2,Recent High-Spenders
538072,365,-13,0.0,0,Low-Value Guests
538074,365,-80,0.0,0,Low-Value Guests
538090,365,-723,0.0,0,Low-Value Guests
538092,365,-177,0.0,0,Low-Value Guests
538096,365,3,3.7199999999999998,0,Low-Value Guests
538127,365,2,7.5,0,Low-Value Guests
538128,365,46,0.0,0,Low-Value Guests
538129,365,79,0.0,0,Low-Value Guests
538130,365,10,0.0,0,Low-Value Guests
538131,365,84,0.0,0,Low-Value Guests
538132,365,3,0.0,0,Low-Value Guests
538133,365,3,0.0,0,Low-Value Guests
538134,365,2,0.0,0,Low-Value Guests
538135,365,2,0.0,0,Low-Value Guests
538136,365,2,0.0,0,Low-Value Guests
538137,365,2,0.0,0,Low-Value Guests
538138,365,2,0.0,0,Low-Value Guests
538139,365,2,0.0,0,Low-Value Guests
538140,365,9,0.0,0,Low-Value Guests
538141,365,2,0.0,0,Low-Value Guests
538142,365,1,0.0,0,Low-Value Guests
538143,365,1,0.0,0,Low-Value Guests
538144,365,1,0.0,0,Low-Value Guests
538148,365,225,2215.27,0,Low-Value Guests
538149,365,239,2446.16,0,Low-Value Guests
538153,365,353,3091.82,0,Low-Value Guests
538154,365,32,294.01,0,Low-Value Guests
538158,365,-32,0.0,0,Low-Value Guests
538159,365,-18,0.0,0,Low-Value Guests
538160,365,288,0.0,0,Low-Value Guests
538161,365,-100,0.0,0,Low-Value Guests
538162,365,-100,0.0,0,Low-Value Guests
538173,365,-28,0.0,0,Low-Value Guests
538177,365,1306,6272.01,2,Recent High-Spenders
538188,365,1,2.95,0,Low-Value Guests
538241,365,-21,0.0,0,Low-Value Guests
538247,365,-145,0.0,0,Low-Value Guests
538249,365,25,0.0,0,Low-Value Guests
538348,364,30,0.0,0,Low-Value Guests
538349,364,1504,6602.3099999999995,2,Recent High-Spenders
538351,364,2229,12633.67,2,Recent High-Spenders
538358,364,6,21.7,0,Low-Value Guests
538359,364,2,0.0,0,Low-Value Guests
538360,364,1,0.0,0,Low-Value Guests
538520,362,4,23.3,0,Low-Value Guests
538524,362,1303,5344.98,2,Recent High-Spenders
538566,362,1034,4909.89,2,Recent High-Spenders
538627,361,12,14.44,0,Low-Value Guests
538649,361,3,14.149999999999999,0,Low-Value Guests
538666,361,7,12.850000000000001,0,Low-Value Guests
538678,361,33,67.72,0,Low-Value Guests
538724,361,1,2.95,0,Low-Value Guests
538778,361,13,39.45,0,Low-Value Guests
538837,360,-40,0.0,0,Low-Value Guests
538861,360,460,0.0,0,Low-Value Guests
538867,360,1,3.75,0,Low-Value Guests
538873,360,20,0.0,0,Low-Value Guests
538877,360,2153,12681.58,2,Recent High-Spenders
538880,360,89,638.74,0,Low-Value Guests
538881,360,80,718.3499999999999,0,Low-Value Guests
538883,360,149,1308.63,0,Low-Value Guests
538884,360,62,518.73,0,Low-Value Guests
538885,360,3,20.25,0,Low-Value Guests
538906,360,-5,0.0,0,Low-Value Guests
539013,359,3,38.25,0,Low-Value Guests
539045,359,25,19.25,0,Low-Value Guests
539070,359,26,19.9,0,Low-Value Guests
539074,359,11,55.5,0,Low-Value Guests
539081,359,1,2.95,0,Low-Value Guests
539220,358,25,118.34,0,Low-Value Guests
539223,358,2,2.5,0,Low-Value Guests
539242,358,44,36.08,0,Low-Value Guests
539245,358,33,81.99,0,Low-Value Guests
539265,358,1,4.95,0,Low-Value Guests
539300,358,38,72.59,0,Low-Value Guests
539323,358,6,3.42,0,Low-Value Guests
539337,358,327,670.38,0,Low-Value Guests
539412,357,12,16.85,0,Low-Value Guests
539413,357,12,0.0,0,Low-Value Guests
539434,357,1043,4700.4,2,Recent High-Spenders
539436,357,833,4390.32,2,Recent High-Spenders
539437,357,1310,5946.49,2,Recent High-Spenders
539441,357,1,0.42,0,Low-Value Guests
539449,357,3,5.05,0,Low-Value Guests
539451,357,834,4537.15,2,Recent High-Spenders
539453,357,1121,5022.16,2,Recent High-Spenders
539457,357,10,29.8,0,Low-Value Guests
539458,357,46,52.75,0,Low-Value Guests
539479,355,6,17.55,0,Low-Value Guests
539480,355,4,18.65,0,Low-Value Guests
539481,355,10,11.7,0,Low-Value Guests
539482,355,39,49.67,0,Low-Value Guests
539485,355,1,19.95,0,Low-Value Guests
539492,355,468,2529.81,0,Low-Value Guests
539493,355,13,41.81,0,Low-Value Guests
539494,355,752,0.0,0,Low-Value Guests
539495,355,36,0.0,0,Low-Value Guests
539500,355,54,205.74,0,Low-Value Guests
539582,354,8,0.0,0,Low-Value Guests
539583,354,1,0.0,0,Low-Value Guests
539584,354,1,0.0,0,Low-Value Guests
539585,354,1,0.0,0,Low-Value Guests
539595,354,418,2094.9,0,Low-Value Guests
539611,354,53,0.0,0,Low-Value Guests
539631,354,416,2104.0,0,Low-Value Guests
539638,354,1,0.0,0,Low-Value Guests
539643,354,3,10.350000000000001,0,Low-Value Guests
539648,354,4,7.4,0,Low-Value Guests
539649,354,10,42.120000000000005,0,Low-Value Guests
539650,354,82,96.44,0,Low-Value Guests
539651,354,26,32.5,0,Low-Value Guests
539656,354,1,2.1,0,Low-Value Guests
539665,354,2,2.9,0,Low-Value Guests
539708,354,168,1121.38,0,Low-Value Guests
539713,354,25,10.5,0,Low-Value Guests
539714,354,3,2.55,0,Low-Value Guests
539715,354,1,1.25,0,Low-Value Guests
539718,353,248,1261.19,0,Low-Value Guests
539729,353,1,7.95,0,Low-Value Guests
539733,353,35,47.75,0,Low-Value Guests
539734,353,1,7.95,0,Low-Value Guests
539735,353,64,596.34,0,Low-Value Guests
539736,353,143,1172.46,0,Low-Value Guests
539737,353,220,1805.29,0,Low-Value Guests
539738,353,222,1736.26,0,Low-Value Guests
539739,353,125,1077.8,0,Low-Value Guests
539740,353,136,1041.32,0,Low-Value Guests
539741,353,45,475.65,0,Low-Value Guests
539742,353,43,392.72,0,Low-Value Guests
539743,353,36,365.26,0,Low-Value Guests
539744,353,62,579.7,0,Low-Value Guests
539745,353,41,457.32000000000005,0,Low-Value Guests
539746,353,30,155.82999999999998,0,Low-Value Guests
539747,353,16,136.89,0,Low-Value Guests
539748,353,7,76.92,0,Low-Value Guests
539749,353,30,0.0,0,Low-Value Guests
539750,353,2858,18745.86,2,Recent High-Spenders
539751,353,5,4.25,0,Low-Value Guests
539753,353,11,62.79,0,Low-Value Guests
539758,353,1,4.25,0,Low-Value Guests
539759,353,1,2.1,0,Low-Value Guests
539825,353,3,9.35,0,Low-Value Guests
539839,352,2,5.7,0,Low-Value Guests
539856,352,134,1298.4,0,Low-Value Guests
539951,352,7,33.15,0,Low-Value Guests
539952,352,11,26.15,0,Low-Value Guests
539955,352,141,961.23,0,Low-Value Guests
539958,351,2320,5262.0599999999995,2,Recent High-Spenders
539979,351,7,12.45,0,Low-Value Guests
539980,351,-36,0.0,0,Low-Value Guests
539986,351,7,15.25,0,Low-Value Guests
539989,351,1,3.75,0,Low-Value Guests
539990,351,17,27.3,0,Low-Value Guests
539991,351,18,78.7,0,Low-Value Guests
539992,351,3,7.1,0,Low-Value Guests
539994,340,-1,0.0,0,Low-Value Guests
539995,340,-12,0.0,0,Low-Value Guests
539996,340,-10,0.0,0,Low-Value Guests
539997,340,5,0.0,0,Low-Value Guests
539998,340,2,0.0,0,Low-Value Guests
539999,340,-1,0.0,0,Low-Value Guests
540000,340,-9,0.0,0,Low-Value Guests
540008,340,-48,0.0,0,Low-Value Guests
540009,340,-120,0.0,0,Low-Value Guests
540010,340,-100,0.0,0,Low-Value Guests
540011,340,30,0.0,0,Low-Value Guests
540012,340,-100,0.0,0,Low-Value Guests
540018,340,2,0.0,0,Low-Value Guests
540026,339,1680,3900.62,2,Recent High-Spenders
540100,339,-106,0.0,0,Low-Value Guests
540116,339,2,10.129999999999999,0,Low-Value Guests
540119,339,-60,0.0,0,Low-Value Guests
540150,339,3,38.25,0,Low-Value Guests
540154,339,733,1854.3899999999999,0,Low-Value Guests
540186,338,5,7.95,0,Low-Value Guests
540227,338,1,4.95,0,Low-Value Guests
540238,338,171,583.37,0,Low-Value Guests
540241,338,-939,0.0,0,Low-Value Guests
540252,338,-100,0.0,0,Low-Value Guests
540255,338,485,1331.8,0,Low-Value Guests
540256,338,35,0.0,0,Low-Value Guests
540272,338,-54,0.0,0,Low-Value Guests
540352,337,783,2094.11,0,Low-Value Guests
540355,337,691,3401.94,2,Recent High-Spenders
540356,337,117,513.86,0,Low-Value Guests
540369,337,-201,0.0,0,Low-Value Guests
540375,337,1,12.75,0,Low-Value Guests
540418,337,1075,2688.72,2,Recent High-Spenders
540468,336,948,2311.53,2,Recent High-Spenders
540474,336,4,6.6,0,Low-Value Guests
540476,336,1,4.25,0,Low-Value Guests
540495,336,2,10.9,0,Low-Value Guests
540497,336,8,16.8,0,Low-Value Guests
540549,334,-53,0.0,0,Low-Value Guests
540551,334,1797,4731.639999999999,2,Recent High-Spenders
540556,334,100,379.84000000000003,0,Low-Value Guests
540558,334,-29,0.0,0,Low-Value Guests
540560,334,-14,0.0,0,Low-Value Guests
540564,334,-2600,0.0,0,Low-Value Guests
540637,334,-5,0.0,0,Low-Value Guests
540638,334,-990,0.0,0,Low-Value Guests
540646,333,986,2312.89,2,Recent High-Spenders
540650,333,-8,0.0,0,Low-Value Guests
540651,333,-290,0.0,0,Low-Value Guests
540673,333,144,0.0,0,Low-Value Guests
540674,333,26,0.0,0,Low-Value Guests
540675,333,40,0.0,0,Low-Value Guests
540676,333,12,0.0,0,Low-Value Guests
540677,333,1,0.0,0,Low-Value Guests
540678,333,-1,0.0,0,Low-Value Guests
540679,333,-1,0.0,0,Low-Value Guests
540681,333,593,1787.82,0,Low-Value Guests
540683,333,-45,0.0,0,Low-Value Guests
540684,333,-13,0.0,0,Low-Value Guests
540685,333,5,10.05,0,Low-Value Guests
540693,333,1,0.0,0,Low-Value Guests
540694,333,1,0.0,0,Low-Value Guests
540695,333,1,0.0,0,Low-Value Guests
540696,333,1,0.0,0,Low-Value Guests
540699,333,1000,0.0,0,Low-Value Guests
540778,333,-50,0.0,0,Low-Value Guests
540821,332,1067,3195.7799999999997,2,Recent High-Spenders
540828,332,24,145.34,0,Low-Value Guests
540832,332,1264,5032.29,2,Recent High-Spenders
540833,332,1,0.65,0,Low-Value Guests
540836,332,15,12.75,0,Low-Value Guests
540848,332,1330,3808.77,2,Recent High-Spenders
540973,331,2,14.899999999999999,0,Low-Value Guests
540977,331,1391,3716.17,2,Recent High-Spenders
540978,331,-310,0.0,0,Low-Value Guests
540982,331,1,0.0,0,Low-Value Guests
540987,331,-61,0.0,0,Low-Value Guests
540995,331,914,2700.92,2,Recent High-Spenders
541000,331,-41,0.0,0,Low-Value Guests
541104,330,947,2751.16,2,Recent High-Spenders
541118,330,1,1.25,0,Low-Value Guests
541127,330,19,191.1,0,Low-Value Guests
541128,330,31,243.3,0,Low-Value Guests
541129,330,38,273.26,0,Low-Value Guests
541130,330,114,739.97,0,Low-Value Guests
541131,330,69,629.41,0,Low-Value Guests
541132,330,55,483.35,0,Low-Value Guests
541133,330,67,466.64,0,Low-Value Guests
541219,329,1165,3134.2799999999997,2,Recent High-Spenders
541221,329,483,1883.57,0,Low-Value Guests
541412,326,1,5.95,0,Low-Value Guests
541421,326,1610,4106.84,2,Recent High-Spenders
541422,326,894,2555.13,2,Recent High-Spenders
541423,326,1230,3237.88,2,Recent High-Spenders
541424,326,948,2829.87,2,Recent High-Spenders
541482,326,-35,0.0,0,Low-Value Guests
541487,325,-35,0.0,0,Low-Value Guests
541493,325,459,1933.95,0,Low-Value Guests
541494,325,8,8.31,0,Low-Value Guests
541495,325,54,386.21,0,Low-Value Guests
541496,325,51,403.15,0,Low-Value Guests
541497,325,1017,2418.2599999999998,2,Recent High-Spenders
541506,325,63,478.64,0,Low-Value Guests
541507,325,28,277.11,0,Low-Value Guests
541508,325,70,615.18,0,Low-Value Guests
541516,325,610,1868.1299999999999,0,Low-Value Guests
541519,325,-15,0.0,0,Low-Value Guests
541584,324,54,405.36,0,Low-Value Guests
541592,324,1431,3882.43,2,Recent High-Spenders
541600,324,-64,0.0,0,Low-Value Guests
541601,324,-84,0.0,0,Low-Value Guests
541607,324,1,29.43,0,Low-Value Guests
541652,324,2,5.5,0,Low-Value Guests
541685,323,-1400,0.0,0,Low-Value Guests
541687,323,-300,0.0,0,Low-Value Guests
541692,323,10,25.0,0,Low-Value Guests
541695,323,1253,3323.19,2,Recent High-Spenders
541696,323,1038,2619.14,2,Recent High-Spenders
541697,323,8,0.0,0,Low-Value Guests
541702,323,-30,0.0,0,Low-Value Guests
541802,322,-80,0.0,0,Low-Value Guests
541809,322,463,2007.44,0,Low-Value Guests
541810,322,78,524.1800000000001,0,Low-Value Guests
541811,322,106,672.86,0,Low-Value Guests
541827,322,1482,3388.21,2,Recent High-Spenders
541830,322,479,1767.85,0,Low-Value Guests
541869,320,287,883.8299999999999,0,Low-Value Guests
541870,320,129,733.53,0,Low-Value Guests
541871,320,227,842.66,0,Low-Value Guests
541878,320,87,653.95,0,Low-Value Guests
541879,320,43,301.3,0,Low-Value Guests
541882,320,-57,0.0,0,Low-Value Guests
541967,319,-3,0.0,0,Low-Value Guests
541969,319,330,1363.66,0,Low-Value Guests
541971,319,200,865.63,0,Low-Value Guests
541975,319,1121,2439.76,2,Recent High-Spenders
541982,319,4,17.1,0,Low-Value Guests
541993,319,93,604.37,0,Low-Value Guests
541999,319,404,1569.03,0,Low-Value Guests
542109,318,461,1816.6299999999999,0,Low-Value Guests
542115,318,113,920.9,0,Low-Value Guests
542127,318,1,12.75,0,Low-Value Guests
542135,318,7,13.55,0,Low-Value Guests
542136,318,2,0.84,0,Low-Value Guests
542137,318,14,20.1,0,Low-Value Guests
542156,318,8,0.0,0,Low-Value Guests
542225,317,-59,0.0,0,Low-Value Guests
542252,317,102,709.89,0,Low-Value Guests
542253,317,3,2.8499999999999996,0,Low-Value Guests
542255,317,408,1718.73,0,Low-Value Guests
542344,317,359,1563.96,0,Low-Value Guests
542361,317,-20,0.0,0,Low-Value Guests
542362,317,-16,0.0,0,Low-Value Guests
542363,317,1,0.0,0,Low-Value Guests
542364,317,5,0.0,0,Low-Value Guests
542365,316,-22,0.0,0,Low-Value Guests
542367,316,-30,0.0,0,Low-Value Guests
542368,316,-70,0.0,0,Low-Value Guests
542378,316,192,0.0,0,Low-Value Guests
542379,316,-30,0.0,0,Low-Value Guests
542380,316,-50,0.0,0,Low-Value Guests
542387,316,5,9.85,0,Low-Value Guests
542391,316,-31,0.0,0,Low-Value Guests
542392,316,-2,0.0,0,Low-Value Guests
542394,316,65,0.0,0,Low-Value Guests
542396,316,-4,0.0,0,Low-Value Guests
542414,316,-2,0.0,0,Low-Value Guests
542415,316,-1,0.0,0,Low-Value Guests
542417,316,-11,0.0,0,Low-Value Guests
542418,316,-17,0.0,0,Low-Value Guests
542504,316,5568,0.0,2,Recent High-Spenders
542505,316,2560,0.0,2,Recent High-Spenders
542507,316,5,0.0,0,Low-Value Guests
542508,316,136,0.0,0,Low-Value Guests
542509,316,3,0.0,0,Low-Value Guests
542510,316,2,0.0,0,Low-Value Guests
542512,316,2,0.0,0,Low-Value Guests
542513,316,2,0.0,0,Low-Value Guests
542514,316,1,0.0,0,Low-Value Guests
542515,316,1,0.0,0,Low-Value Guests
542516,316,4,0.0,0,Low-Value Guests
542518,316,-13,0.0,0,Low-Value Guests
542529,315,-1,0.0,0,Low-Value Guests
542531,315,-1,0.0,0,Low-Value Guests
542532,315,-1,0.0,0,Low-Value Guests
542536,315,332,1264.34,0,Low-Value Guests
542541,315,345,1551.56,0,Low-Value Guests
542544,315,-10,0.0,0,Low-Value Guests
542545,315,9,0.0,0,Low-Value Guests
542546,315,-1,0.0,0,Low-Value Guests
542547,315,-1,0.0,0,Low-Value Guests
542548,315,-1,0.0,0,Low-Value Guests
542550,315,-1,0.0,0,Low-Value Guests
542551,315,-1,0.0,0,Low-Value Guests
542552,315,-1,0.0,0,Low-Value Guests
542553,315,-1,0.0,0,Low-Value Guests
542554,315,-1,0.0,0,Low-Value Guests
542555,315,-1,0.0,0,Low-Value Guests
542556,315,-1,0.0,0,Low-Value Guests
542557,315,-1,0.0,0,Low-Value Guests
542558,315,-1,0.0,0,Low-Value Guests
542559,315,-1,0.0,0,Low-Value Guests
542560,315,-1,0.0,0,Low-Value Guests
542561,315,-1,0.0,0,Low-Value Guests
542562,315,-1,0.0,0,Low-Value Guests
542563,315,-1,0.0,0,Low-Value Guests
542564,315,-1,0.0,0,Low-Value Guests
542565,315,-1,0.0,0,Low-Value Guests
542566,315,-1,0.0,0,Low-Value Guests
542567,315,-1,0.0,0,Low-Value Guests
542569,315,-1,0.0,0,Low-Value Guests
542570,315,-1,0.0,0,Low-Value Guests
542571,315,-1,0.0,0,Low-Value Guests
542572,315,-1,0.0,0,Low-Value Guests
542573,315,-1,0.0,0,Low-Value Guests
542574,315,-1,0.0,0,Low-Value Guests
542575,315,-1,0.0,0,Low-Value Guests
542576,315,-1,0.0,0,Low-Value Guests
542577,315,-1,0.0,0,Low-Value Guests
542579,315,-1,0.0,0,Low-Value Guests
542580,315,-1,0.0,0,Low-Value Guests
542581,315,-1,0.0,0,Low-Value Guests
542582,315,-6,0.0,0,Low-Value Guests
542594,315,1,1.25,0,Low-Value Guests
542622,313,315,1321.39,0,Low-Value Guests
542624,313,106,677.4300000000001,0,Low-Value Guests
542625,313,102,701.71,0,Low-Value Guests
542633,313,164,661.42,0,Low-Value Guests
542664,313,302,1460.33,0,Low-Value Guests
542783,312,4,0.0,0,Low-Value Guests
542784,312,3,0.0,0,Low-Value Guests
542794,312,141,669.46,0,Low-Value Guests
542849,312,20,76.45,0,Low-Value Guests
542861,312,-207,0.0,0,Low-Value Guests
542867,312,78,134.48,0,Low-Value Guests
542871,312,50,21.0,0,Low-Value Guests
542879,311,-19,0.0,0,Low-Value Guests
542880,311,10,0.0,0,Low-Value Guests
542882,311,-40,0.0,0,Low-Value Guests
542883,311,-40,0.0,0,Low-Value Guests
542884,311,-52,0.0,0,Low-Value Guests
542885,311,-6,0.0,0,Low-Value Guests
542906,311,532,1757.1,0,Low-Value Guests
542936,311,144,161.56,0,Low-Value Guests
542965,311,2,0.0,0,Low-Value Guests
542997,311,44,395.90999999999997,0,Low-Value Guests
542998,311,93,587.25,0,Low-Value Guests
542999,311,60,523.31,0,Low-Value Guests
543000,311,143,1047.17,0,Low-Value Guests
543013,310,310,1340.77,0,Low-Value Guests
543014,310,1,0.0,0,Low-Value Guests
543018,310,4,15.0,0,Low-Value Guests
543034,310,-130,0.0,0,Low-Value Guests
543035,310,-206,0.0,0,Low-Value Guests
543049,310,320,0.0,0,Low-Value Guests
543051,310,960,0.0,0,Low-Value Guests
543097,310,285,1295.83,0,Low-Value Guests
543171,309,138,893.25,0,Low-Value Guests
543172,309,111,614.84,0,Low-Value Guests
543176,309,60,0.0,0,Low-Value Guests
543182,309,434,1747.83,0,Low-Value Guests
543194,309,-217,0.0,0,Low-Value Guests
543200,308,98,629.56,0,Low-Value Guests
543201,308,92,687.72,0,Low-Value Guests
543237,308,565,2461.98,0,Low-Value Guests
543238,308,1,0.0,0,Low-Value Guests
543254,308,18,0.0,0,Low-Value Guests
543257,308,-1430,0.0,0,Low-Value Guests
543258,308,1287,0.0,0,Low-Value Guests
543259,308,-162,0.0,0,Low-Value Guests
543260,308,-230,0.0,0,Low-Value Guests
543261,308,-173,0.0,0,Low-Value Guests
543262,308,-390,0.0,0,Low-Value Guests
543263,308,3,12.7,0,Low-Value Guests
543265,308,-4,0.0,0,Low-Value Guests
543266,308,-5,0.0,0,Low-Value Guests
543267,308,3,0.0,0,Low-Value Guests
543268,308,3,0.0,0,Low-Value Guests
543269,308,-18,0.0,0,Low-Value Guests
543270,308,-19,0.0,0,Low-Value Guests
543271,308,-6,0.0,0,Low-Value Guests
543308,306,-3,0.0,0,Low-Value Guests
543310,306,-234,0.0,0,Low-Value Guests
543345,306,267,1229.32,0,Low-Value Guests
543358,305,292,1294.78,0,Low-Value Guests
543383,305,1,7.95,0,Low-Value Guests
543385,305,1,7.95,0,Low-Value Guests
543386,305,4,0.0,0,Low-Value Guests
543390,305,-5,0.0,0,Low-Value Guests
543399,305,261,1211.45,0,Low-Value Guests
543448,305,551,2347.39,0,Low-Value Guests
543450,305,94,463.65999999999997,0,Low-Value Guests
543451,305,87,605.97,0,Low-Value Guests
543453,305,1,0.0,0,Low-Value Guests
543460,304,12,10.2,0,Low-Value Guests
543461,304,68,498.96,0,Low-Value Guests
543467,304,363,1644.26,0,Low-Value Guests
543471,304,118,0.0,0,Low-Value Guests
543472,304,1,0.0,0,Low-Value Guests
543473,304,1,0.0,0,Low-Value Guests
543521,304,-6,0.0,0,Low-Value Guests
543530,304,266,1275.78,0,Low-Value Guests
543532,303,126,937.55,0,Low-Value Guests
543533,303,155,1001.27,0,Low-Value Guests
543536,303,31,48.22,0,Low-Value Guests
543544,303,41,49.08,0,Low-Value Guests
543545,303,-11,0.0,0,Low-Value Guests
543546,303,401,1459.9,0,Low-Value Guests
543552,303,-10,0.0,0,Low-Value Guests
543629,302,109,697.9499999999999,0,Low-Value Guests
